RESORT	BUSINESS_DATE	CHAR_BUSINESS_DATE	MARKET_CODE	CF_MASTER_SEQ	GROUP_NAME	S_REV_MKT	S_DEF_ROOMS_MKT	S_FB_REV_MKT	S_MISC_REV_MKT	MKT_RESORT_ROOM	GUEST_MKT	TOT_ARR_MKT	PER_OCC_MKT	PER_DOUBLE_MKT	DOUBLE_OCC_MKT	SINGLE_OCC_MKT	GUEST_DAY	ARRIVAL_DAY	ARRIVAL_MKT	TOT_ARR_DAY	PER_OCC_DAY	PER_DOUBLE_OCC_DAY	SINGLE_OCC_DAY	S_MISC_REV_DAY	DAY_RESORT_ROOM	S_FB_REV_DAY	DOUBLE_OCC_DAY	S_REV_DAY	S_DEF_ROOMS_DAY	ARR_TODAY	NO_DEFINITE_ROOMS	IN_GUEST	OCC_SINGLE	DOUBLE_OCC	REVENUE	FB_REV	OTHER_REV	TOTAL_REVENUE	RESORT_ROOM	PER_OCC	GET_ARR	MULTI_OCC_PER
Hotel1	1-Jan-20	1/1/20	COMP	COMP	COMP	0	114	0	414.87	42456	115	0	0.268513284	0.00235538	1	113	93	0	0	247.539855	59.4827586	15.5172414	51	1743.65	116	0	18	17080.25	69	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-20	1/1/20	CONT	CONT	CONT	349.04	2	0	92.78	42456	2	174.52	0.004710759	0	0	2	93	0	0	247.539855	59.4827586	15.5172414	51	1743.65	116	0	18	17080.25	69	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-20	1/1/20	DISC	DISC	DISC	442456.06	2646	0	160059.31	42456	3504	167.216954	6.23233465	1.7971547	763	1883	93	0	0	247.539855	59.4827586	15.5172414	51	1743.65	116	0	18	17080.25	69	0	7	12	2	5	1086.14	0	364.34	1450.48	116	6.03448276	155.1628571	4.31034483
Hotel1	1-Jan-20	1/1/20	GASSOC	GASSOC	GASSOC	80345.5	273	0	2748.05	42456	271	294.305861	0.643018655	0	0	273	93	0	0	247.539855	59.4827586	15.5172414	51	1743.65	116	0	18	17080.25	69	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-20	1/1/20	GCOR	GCOR	GCOR	595351.68	1140	298910.89	148320.21	42456	1145	522.238316	2.68513284	0.032975316	14	1126	93	0	0	247.539855	59.4827586	15.5172414	51	1743.65	116	0	18	17080.25	69	0	40	40	40	0	11580	0	240.77	11820.77	116	34.4827586	289.5	0
Hotel1	1-Jan-20	1/1/20	GSMERF	GSMERF	GSMERF	9738	32	0	1482.78	42456	32	304.3125	0.07537215	0	0	32	93	0	0	247.539855	59.4827586	15.5172414	51	1743.65	116	0	18	17080.25	69	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-20	1/1/20	HOUSE	HOUSE	HOUSE	0	0	225901.84	12037.52	42456	0	0	0	0	0	0	93	0	0	247.539855	59.4827586	15.5172414	51	1743.65	116	0	18	17080.25	69	0	0	0	0	0	0	0	68.68	68.68	116	0	0	0
Hotel1	1-Jan-20	1/1/20	NEG	NEG	NEG	867483.64	2040	33168.2	38961.63	42456	2191	425.237078	4.80497456	0.365083852	155	1885	93	0	0	247.539855	59.4827586	15.5172414	51	1743.65	116	0	18	17080.25	69	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-20	1/1/20	PSBY	PSBY	PSBY	0	0	0	0	42456	0	0	0	0	0	0	93	0	0	247.539855	59.4827586	15.5172414	51	1743.65	116	0	18	17080.25	69	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-20	1/1/20	QUAL	QUAL	QUAL	51252.34	238	0	8793.98	42456	327	215.345966	0.560580366	0.186074995	79	159	93	0	0	247.539855	59.4827586	15.5172414	51	1743.65	116	0	18	17080.25	69	0	4	4	4	0	896	0	125	1021	116	3.44827586	224	0
Hotel1	1-Jan-20	1/1/20	RETAIL	RETAIL	RETAIL	783339.36	3912	750	235618.06	42456	5879	200.240123	9.21424534	4.15960053	1766	2146	93	0	0	247.539855	59.4827586	15.5172414	51	1743.65	116	0	18	17080.25	69	0	18	37	5	13	3518.11	0	944.86	4462.97	116	15.5172414	195.4505556	11.2068966
Hotel1	1-Jan-20	1/1/20	WHOL	WHOL	WHOL	4355.45	26	0	1049.34	42456	37	167.517308	0.061239872	0.025909177	11	15	93	0	0	247.539855	59.4827586	15.5172414	51	1743.65	116	0	18	17080.25	69	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-20	1/2/20	COMP	COMP	COMP	0	114	0	414.87	42456	115	0	0.268513284	0.00235538	1	113	71	0	0	263.218302	45.6896552	12.9310345	38	1552.47	116	0	15	13950.57	53	0	0	0	0	0	0	0	0	0	116	0	0	0
