RESORT	BUSINESS_DATE	CHAR_BUSINESS_DATE	MARKET_CODE	CF_MASTER_SEQ	GROUP_NAME	S_REV_MKT	S_DEF_ROOMS_MKT	S_FB_REV_MKT	S_MISC_REV_MKT	MKT_RESORT_ROOM	GUEST_MKT	TOT_ARR_MKT	PER_OCC_MKT	PER_DOUBLE_MKT	DOUBLE_OCC_MKT	SINGLE_OCC_MKT	GUEST_DAY	ARRIVAL_DAY	ARRIVAL_MKT	TOT_ARR_DAY	PER_OCC_DAY	PER_DOUBLE_OCC_DAY	SINGLE_OCC_DAY	S_MISC_REV_DAY	DAY_RESORT_ROOM	S_FB_REV_DAY	DOUBLE_OCC_DAY	S_REV_DAY	S_DEF_ROOMS_DAY	ARR_TODAY	NO_DEFINITE_ROOMS	IN_GUEST	OCC_SINGLE	DOUBLE_OCC	REVENUE	FB_REV	OTHER_REV	TOTAL_REVENUE	RESORT_ROOM	PER_OCC	GET_ARR	MULTI_OCC_PER
Hotel1	1-Jan-18	1/1/18	COMP	COMP	COMP	-85	360	0	2480.18	42340	407	-0.23611111	0.850259802	0.089749646	38	322	123	0	0	218.989344	52.5862069	39.6551724	15	1926.83	116	0	46	13358.35	61	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-18	1/1/18	DISC	DISC	DISC	2418660.27	9652	375	391713.98	42340	18364	250.586435	22.79641	13.4482759	5694	3958	123	0	0	218.989344	52.5862069	39.6551724	15	1926.83	116	0	46	13358.35	61	0	39	81	7	32	7197.16	0	1396.33	8593.49	116	33.6206897	184.5425641	27.5862069
Hotel1	1-Jan-18	1/1/18	GASSOC	GASSOC	GASSOC	362988	997	500	8610.61	42340	1168	364.080241	2.35474728	0.375531412	159	838	123	0	0	218.989344	52.5862069	39.6551724	15	1926.83	116	0	46	13358.35	61	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-18	1/1/18	GCOR	GCOR	GCOR	2033429.05	5548	946714.37	201542.47	42340	5879	366.51569	13.1034483	0.854983467	362	5186	123	0	0	218.989344	52.5862069	39.6551724	15	1926.83	116	0	46	13358.35	61	0	4	4	4	0	1256	0	1.99	1257.99	116	3.44827586	314	0
Hotel1	1-Jan-18	1/1/18	GSMERF	GSMERF	GSMERF	94199.4	338	0	7517.11	42340	419	278.69645	0.79829948	0.167690128	71	267	123	0	0	218.989344	52.5862069	39.6551724	15	1926.83	116	0	46	13358.35	61	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-18	1/1/18	GWHOL	GWHOL	GWHOL	0	0	0	0	42340	0	0	0	0	0	0	123	0	0	218.989344	52.5862069	39.6551724	15	1926.83	116	0	46	13358.35	61	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-18	1/1/18	HOUSE	HOUSE	HOUSE	0	0	416188.78	38877.26	42340	0	0	0	0	0	0	123	0	0	218.989344	52.5862069	39.6551724	15	1926.83	116	0	46	13358.35	61	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-18	1/1/18	NEG	NEG	NEG	3653025.02	10816	34705.36	129563.89	42340	11274	337.742698	25.5455834	1.1596599	491	10325	123	0	0	218.989344	52.5862069	39.6551724	15	1926.83	116	0	46	13358.35	61	0	3	3	3	0	761.2	0	0	761.2	116	2.5862069	253.7333333	0
Hotel1	1-Jan-18	1/1/18	PSBY	PSBY	PSBY	0	0	0	75	42340	0	0	0	0	0	0	123	0	0	218.989344	52.5862069	39.6551724	15	1926.83	116	0	46	13358.35	61	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-18	1/1/18	QUAL	QUAL	QUAL	203847.25	744	0	23222.36	42340	1031	273.988239	1.75720359	0.524326878	222	522	123	0	0	218.989344	52.5862069	39.6551724	15	1926.83	116	0	46	13358.35	61	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-18	1/1/18	RETAIL	RETAIL	RETAIL	2807647.61	8989	0	399025.66	42340	15242	312.342598	21.2305149	10.8101086	4577	4412	123	0	0	218.989344	52.5862069	39.6551724	15	1926.83	116	0	46	13358.35	61	0	15	35	1	14	4143.99	0	493.51	4637.5	116	12.9310345	276.266	12.0689655
Hotel1	1-Jan-18	1/1/18	WHOL	WHOL	WHOL	124658.87	477	0	14894.1	42340	780	261.33935	1.12659424	0.595181861	252	225	123	0	0	218.989344	52.5862069	39.6551724	15	1926.83	116	0	46	13358.35	61	0	0	0	0	0	0	0	35	35	116	0	0	0
Hotel1	2-Jan-18	1/2/18	COMP	COMP	COMP	-85	360	0	2480.18	42340	407	-0.23611111	0.850259802	0.089749646	38	322	108	0	0	257.986143	60.3448276	20.6896552	46	1543.13	116	0	24	18059.03	70	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-18	1/2/18	DISC	DISC	DISC	2418660.27	9652	375	391713.98	42340	18364	250.586435	22.79641	13.4482759	5694	3958	108	0	0	257.986143	60.3448276	20.6896552	46	1543.13	116	0	24	18059.03	70	0	27	57	7	20	5070.33	0	1080.96	6151.29	116	23.2758621	187.79	17.2413793
Hotel1	2-Jan-18	1/2/18	GASSOC	GASSOC	GASSOC	362988	997	500	8610.61	42340	1168	364.080241	2.35474728	0.375531412	159	838	108	0	0	257.986143	60.3448276	20.6896552	46	1543.13	116	0	24	18059.03	70	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-18	1/2/18	GCOR	GCOR	GCOR	2033429.05	5548	946714.37	201542.47	42340	5879	366.51569	13.1034483	0.854983467	362	5186	108	0	0	257.986143	60.3448276	20.6896552	46	1543.13	116	0	24	18059.03	70	0	36	36	36	0	11124	0	6	11130	116	31.0344828	309	0
Hotel1	2-Jan-18	1/2/18	GSMERF	GSMERF	GSMERF	94199.4	338	0	7517.11	42340	419	278.69645	0.79829948	0.167690128	71	267	108	0	0	257.986143	60.3448276	20.6896552	46	1543.13	116	0	24	18059.03	70	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-18	1/2/18	GWHOL	GWHOL	GWHOL	0	0	0	0	42340	0	0	0	0	0	0	108	0	0	257.986143	60.3448276	20.6896552	46	1543.13	116	0	24	18059.03	70	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-18	1/2/18	HOUSE	HOUSE	HOUSE	0	0	416188.78	38877.26	42340	0	0	0	0	0	0	108	0	0	257.986143	60.3448276	20.6896552	46	1543.13	116	0	24	18059.03	70	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-18	1/2/18	NEG	NEG	NEG	3653025.02	10816	34705.36	129563.89	42340	11274	337.742698	25.5455834	1.1596599	491	10325	108	0	0	257.986143	60.3448276	20.6896552	46	1543.13	116	0	24	18059.03	70	0	2	2	2	0	443.3	0	147.5	590.8	116	1.72413793	221.65	0
Hotel1	2-Jan-18	1/2/18	PSBY	PSBY	PSBY	0	0	0	75	42340	0	0	0	0	0	0	108	0	0	257.986143	60.3448276	20.6896552	46	1543.13	116	0	24	18059.03	70	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-18	1/2/18	QUAL	QUAL	QUAL	203847.25	744	0	23222.36	42340	1031	273.988239	1.75720359	0.524326878	222	522	108	0	0	257.986143	60.3448276	20.6896552	46	1543.13	116	0	24	18059.03	70	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	2-Jan-18	1/2/18	RETAIL	RETAIL	RETAIL	2807647.61	8989	0	399025.66	42340	15242	312.342598	21.2305149	10.8101086	4577	4412	108	0	0	257.986143	60.3448276	20.6896552	46	1543.13	116	0	24	18059.03	70	0	5	13	1	4	1421.4	0	308.67	1730.07	116	4.31034483	284.28	3.44827586
Hotel1	2-Jan-18	1/2/18	WHOL	WHOL	WHOL	124658.87	477	0	14894.1	42340	780	261.33935	1.12659424	0.595181861	252	225	108	0	0	257.986143	60.3448276	20.6896552	46	1543.13	116	0	24	18059.03	70	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	3-Jan-18	1/3/18	COMP	COMP	COMP	-85	360	0	2480.18	42340	407	-0.23611111	0.850259802	0.089749646	38	322	105	0	0	250.13025	68.9655172	13.7931034	64	1753.57	116	0	16	20010.42	80	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	3-Jan-18	1/3/18	DISC	DISC	DISC	2418660.27	9652	375	391713.98	42340	18364	250.586435	22.79641	13.4482759	5694	3958	105	0	0	250.13025	68.9655172	13.7931034	64	1753.57	116	0	16	20010.42	80	0	21	42	9	12	3663.5	0	998.59	4662.09	116	18.1034483	174.452381	10.3448276
Hotel1	3-Jan-18	1/3/18	GASSOC	GASSOC	GASSOC	362988	997	500	8610.61	42340	1168	364.080241	2.35474728	0.375531412	159	838	105	0	0	250.13025	68.9655172	13.7931034	64	1753.57	116	0	16	20010.42	80	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	3-Jan-18	1/3/18	GCOR	GCOR	GCOR	2033429.05	5548	946714.37	201542.47	42340	5879	366.51569	13.1034483	0.854983467	362	5186	105	0	0	250.13025	68.9655172	13.7931034	64	1753.57	116	0	16	20010.42	80	0	33	33	33	0	10197	0	120	10317	116	28.4482759	309	0
Hotel1	3-Jan-18	1/3/18	GSMERF	GSMERF	GSMERF	94199.4	338	0	7517.11	42340	419	278.69645	0.79829948	0.167690128	71	267	105	0	0	250.13025	68.9655172	13.7931034	64	1753.57	116	0	16	20010.42	80	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	3-Jan-18	1/3/18	GWHOL	GWHOL	GWHOL	0	0	0	0	42340	0	0	0	0	0	0	105	0	0	250.13025	68.9655172	13.7931034	64	1753.57	116	0	16	20010.42	80	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	3-Jan-18	1/3/18	HOUSE	HOUSE	HOUSE	0	0	416188.78	38877.26	42340	0	0	0	0	0	0	105	0	0	250.13025	68.9655172	13.7931034	64	1753.57	116	0	16	20010.42	80	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	3-Jan-18	1/3/18	NEG	NEG	NEG	3653025.02	10816	34705.36	129563.89	42340	11274	337.742698	25.5455834	1.1596599	491	10325	105	0	0	250.13025	68.9655172	13.7931034	64	1753.57	116	0	16	20010.42	80	0	15	15	15	0	3413.4	0	88	3501.4	116	12.9310345	227.56	0
Hotel1	3-Jan-18	1/3/18	PSBY	PSBY	PSBY	0	0	0	75	42340	0	0	0	0	0	0	105	0	0	250.13025	68.9655172	13.7931034	64	1753.57	116	0	16	20010.42	80	0	0	0	0	0	0	0	0	0	116	0	0	0
