RESORT	BUSINESS_DATE	CHAR_BUSINESS_DATE	MARKET_CODE	CF_MASTER_SEQ	GROUP_NAME	S_REV_MKT	S_DEF_ROOMS_MKT	S_FB_REV_MKT	S_MISC_REV_MKT	MKT_RESORT_ROOM	GUEST_MKT	TOT_ARR_MKT	PER_OCC_MKT	PER_DOUBLE_MKT	DOUBLE_OCC_MKT	SINGLE_OCC_MKT	GUEST_DAY	ARRIVAL_DAY	ARRIVAL_MKT	TOT_ARR_DAY	PER_OCC_DAY	PER_DOUBLE_OCC_DAY	SINGLE_OCC_DAY	S_MISC_REV_DAY	DAY_RESORT_ROOM	S_FB_REV_DAY	DOUBLE_OCC_DAY	S_REV_DAY	S_DEF_ROOMS_DAY	ARR_TODAY	NO_DEFINITE_ROOMS	IN_GUEST	OCC_SINGLE	DOUBLE_OCC	REVENUE	FB_REV	OTHER_REV	TOTAL_REVENUE	RESORT_ROOM	PER_OCC	GET_ARR	MULTI_OCC_PER
Hotel1	1-Jan-17	1/1/17	AR	AR	AR	0	0	0	0	42340	0	0	0	0	0	0	168	0	0	222.955783	71.5517241	52.5862069	22	1518.84	116	0	61	18505.33	83	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-17	1/1/17	COMP	COMP	COMP	0	317	0	2111.22	42340	343	0	0.748700992	0.061407652	26	291	168	0	0	222.955783	71.5517241	52.5862069	22	1518.84	116	0	61	18505.33	83	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-17	1/1/17	DISC	DISC	DISC	2704549.92	11229	200	304865.84	42340	21376	240.854032	26.5210203	17.4917336	7406	3823	168	0	0	222.955783	71.5517241	52.5862069	22	1518.84	116	0	61	18505.33	83	0	48	92	12	36	10158.5	0	962.65	11121.15	116	41.3793103	211.6354167	31.0344828
Hotel1	1-Jan-17	1/1/17	GASSOC	GASSOC	GASSOC	272910	759	41187.72	6420.04	42340	790	359.565217	1.79263108	0.073216816	31	728	168	0	0	222.955783	71.5517241	52.5862069	22	1518.84	116	0	61	18505.33	83	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-17	1/1/17	GCOR	GCOR	GCOR	1530162.34	4777	620649.64	130252.92	42340	5079	320.318681	11.2824752	0.727444497	308	4469	168	0	0	222.955783	71.5517241	52.5862069	22	1518.84	116	0	61	18505.33	83	0	2	2	2	0	438	0	5	443	116	1.72413793	219	0
Hotel1	1-Jan-17	1/1/17	GSMERF	GSMERF	GSMERF	45759.1	170	0	5278.07	42340	202	269.171176	0.401511573	0.073216816	31	139	168	0	0	222.955783	71.5517241	52.5862069	22	1518.84	116	0	61	18505.33	83	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-17	1/1/17	GWHOL	GWHOL	GWHOL	10619	41	0	1554	42340	41	259	0.096835144	0	0	41	168	0	0	222.955783	71.5517241	52.5862069	22	1518.84	116	0	61	18505.33	83	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-17	1/1/17	HOUSE	HOUSE	HOUSE	-349	0	699942.48	-10079.83	42340	0	0	0	0	0	0	168	0	0	222.955783	71.5517241	52.5862069	22	1518.84	116	0	61	18505.33	83	0	0	0	0	0	0	0	0	0	116	0	0	0
Hotel1	1-Jan-17	1/1/17	NEG	NEG	NEG	3133010.95	10003	17011.86	100826.38	42340	10358	313.207133	23.6254133	0.77231932	327	9676	168	0	0	222.955783	71.5517241	52.5862069	22	1518.84	116	0	61	18505.33	83	0	1	3	0	1	291.6	0	28	319.6	116	0.862068966	291.6	0.862068966
Hotel1	1-Jan-17	1/1/17	PSBY	PSBY	PSBY	0	0	0	0	42340	0	0	0	0	0	0	168	0	0	222.955783	71.5517241	52.5862069	22	1518.84	116	0	61	18505.33	83	0	0	0	0	0	0	0	0	0	116	0	0	0
